id,status_code,status_name,status_description,is_active,product_id,created_at,updated_at
d5e2bafc-0cb5-495d-968d-794f56211bad,active,Active,Status active,True,MLA30109886,2025-04-03 12:09:12.783575,2025-04-03 12:09:12.783576
bf48a6df-924e-4684-a638-1e3872bc5b2a,inactive,Inactive,Status inactive,False,MLA25208882,2025-04-03 12:09:12.813304,2025-04-03 12:09:12.813304
